epoch,batch,train_loss,train_acc,val_loss,val_acc
0,0,0.6928086876869202,0.56,,
0,1,0.6854525804519653,0.59,,
0,2,0.6859323382377625,0.56,,
0,3,0.6951402425765991,0.53,,
0,4,0.7029740810394287,0.51,,
0,5,0.7020443677902222,0.51,,
0,6,0.7140548229217529,0.46,,
0,7,0.7199221849441528,0.41,,
0,8,0.7011300921440125,0.47,,
0,9,0.6956143379211426,0.48,,
0,10,0.6932831406593323,0.5,,
0,11,0.6958574056625366,0.46,,
0,12,0.6894936561584473,0.55,,
0,13,0.7000593543052673,0.47,,
0,14,0.6969108581542969,0.5,,
0,15,0.6958234906196594,0.51,,
0,16,0.686115562915802,0.56,,
0,17,0.7050448060035706,0.47,,
0,18,0.6839830875396729,0.57,,
0,19,0.7081854939460754,0.45,,
0,20,0.6991819739341736,0.49,,
0,21,0.702238142490387,0.46,,
0,22,0.7052157521247864,0.41,,
0,23,0.6939131021499634,0.5,,
0,24,0.6934166550636292,0.47,,
0,25,0.6945638060569763,0.46,,
0,26,0.6924239993095398,0.52,,
0,27,0.6925792098045349,0.52,,
0,28,0.7006961703300476,0.46,,
0,29,0.6926671862602234,0.52,,
0,30,0.7055327892303467,0.44,,
0,31,0.7004705667495728,0.47,,
0,32,0.6992167830467224,0.47,,
0,33,0.6934456825256348,0.51,,
0,34,0.6930444240570068,0.51,,
0,35,0.6902529001235962,0.56,,
0,36,0.6938468813896179,0.49,,
0,37,0.6916952729225159,0.57,,
0,38,0.6929370164871216,0.51,,
0,39,0.6947144865989685,0.41,,
0,40,0.693325936794281,0.45,,
0,41,0.6933937072753906,0.5,,
0,42,0.6936542987823486,0.47,,
0,43,0.6937057375907898,0.47,,
0,44,0.6934083700180054,0.48,,
0,45,0.6934337019920349,0.47,,
0,46,0.693152904510498,0.49,,
0,47,0.6930850744247437,0.52,,
0,48,0.6927065849304199,0.52,,
0,49,0.691619336605072,0.55,,
0,50,0.6891734600067139,0.57,,
0,51,0.6949731707572937,0.49,,
0,52,0.6931442022323608,0.51,,
0,53,0.6964845061302185,0.49,,
0,54,0.6923931837081909,0.52,,
0,55,0.683543860912323,0.59,,
0,56,0.6901857256889343,0.54,,
0,57,0.6975681781768799,0.49,,
0,58,0.6983283758163452,0.49,,
0,59,0.6942346692085266,0.51,,
0,60,0.6998944282531738,0.47,,
0,61,0.6947174668312073,0.5,,
0,62,0.6958671808242798,0.48,,
0,63,0.6982961893081665,0.42,,
0,64,0.6939405202865601,0.45,,
0,65,0.6930369734764099,0.51,,
0,66,0.6891369819641113,0.56,,
0,67,0.6989192366600037,0.47,,
0,68,0.696242094039917,0.5,,
0,69,0.7064927816390991,0.45,,
0,70,0.692109227180481,0.53,,
0,71,0.69182950258255,0.53,,
0,72,0.6791461110115051,0.6,,
0,73,0.6995071172714233,0.49,,
0,74,0.7075084447860718,0.44,,
0,75,0.6932694315910339,0.52,,
0,76,0.6979438662528992,0.48,,
0,77,0.7005795240402222,0.44,,
0,78,0.6892105340957642,0.57,,
0,79,0.6935511231422424,0.49,,
0,80,0.6933730244636536,0.44,,
0,81,0.6929922699928284,0.5,,
0,82,0.6923591494560242,0.53,,
0,83,0.6905055046081543,0.57,,
