date,run_id,dataset,embedding,preprocessing,image_width,seed,val_acc,val_loss,status
2026-01-17/16-03-43,47,eurosat_rgb,RMP,MedianBlur,,0,0.7658333333333333,0.5787918319304785,OK
2026-01-17/16-03-43,48,eurosat_rgb,ZZFeatureMap,BilateralFilter,,0,0.9625,0.3551587983965873,OK
2026-01-17/16-03-43,49,eurosat_rgb,AngleEncoding,BilateralFilter,,0,0.9708333333333335,0.3361420705914497,OK
2026-01-17/16-03-43,50,eurosat_rgb,RMP,BilateralFilter,,0,0.7658333333333333,0.5787722816069921,OK
2026-01-17/16-03-43,51,eurosat_rgb,ZZFeatureMap,HomomorphicFilter,,0,0.7733333333333333,0.5984075715144476,OK
2026-01-17/16-03-43,52,eurosat_rgb,AngleEncoding,HomomorphicFilter,,0,0.7174999999999999,0.5642033964395523,OK
2026-01-17/16-03-43,53,eurosat_rgb,RMP,HomomorphicFilter,,0,0.5283333333333334,0.6732621043920517,OK
2026-01-17/16-03-43,54,eurosat_ms,ZZFeatureMap,None,,0,0.8291666666666666,0.5107585365573565,OK
2026-01-17/16-03-43,55,eurosat_ms,AngleEncoding,None,,0,0.8883333333333333,0.4223934908707936,OK
2026-01-17/16-03-43,56,eurosat_ms,RMP,None,,0,0.5066666666666666,0.6403257598479589,OK
2026-01-17/16-03-43,57,eurosat_ms,ZZFeatureMap,GaussianBlur,,0,0.8291666666666666,0.5108627279599508,OK
2026-01-17/16-03-43,58,eurosat_ms,AngleEncoding,GaussianBlur,,0,0.8883333333333333,0.4223908061782519,OK
2026-01-17/16-03-43,59,eurosat_ms,RMP,GaussianBlur,,0,0.5066666666666666,0.6403324951728185,OK
2026-01-17/16-03-43,60,eurosat_ms,ZZFeatureMap,ContrastScaling,,0,0.8991666666666669,0.4046989232301712,OK
2026-01-17/16-03-43,61,eurosat_ms,AngleEncoding,ContrastScaling,,0,0.9275,0.4043061484893163,OK
2026-01-17/16-03-43,62,eurosat_ms,RMP,ContrastScaling,,0,0.5016666666666667,0.6558670401573181,OK
2026-01-17/16-03-43,63,eurosat_ms,ZZFeatureMap,MedianBlur,,0,0.8316666666666667,0.5107467596729597,OK
2026-01-17/16-03-43,64,eurosat_ms,AngleEncoding,MedianBlur,,0,0.8883333333333333,0.4221847504377365,OK
2026-01-17/16-03-43,65,eurosat_ms,RMP,MedianBlur,,0,0.5066666666666666,0.6406410932540894,OK
2026-01-17/16-03-43,90,stl10,ZZFeatureMap,None,,0,0.6381746031746032,0.6351171235243479,OK
2026-01-17/16-03-43,91,stl10,AngleEncoding,None,,0,0.6985714285714285,0.6233657995859782,OK
2026-01-17/16-03-43,92,stl10,RMP,None,,0,0.5064285714285713,0.6871405839920044,OK
