date,run_id,dataset,embedding,preprocessing,image_width,seed,val_acc,val_loss,status
2026-01-18/02-06-25,47,eurosat_rgb,RMP,MedianBlur,,1,0.975,0.5767548282941183,OK
2026-01-18/02-06-25,48,eurosat_rgb,ZZFeatureMap,BilateralFilter,,1,0.9616666666666668,0.3725895086924235,OK
2026-01-18/02-06-25,49,eurosat_rgb,AngleEncoding,BilateralFilter,,1,0.9658333333333334,0.3310902391870816,OK
2026-01-18/02-06-25,50,eurosat_rgb,RMP,BilateralFilter,,1,0.975,0.5766353011131287,OK
2026-01-18/02-06-25,51,eurosat_rgb,ZZFeatureMap,HomomorphicFilter,,1,0.7975,0.5685270776351293,OK
2026-01-18/02-06-25,52,eurosat_rgb,AngleEncoding,HomomorphicFilter,,1,0.7333333333333334,0.5622425923744837,OK
2026-01-18/02-06-25,53,eurosat_rgb,RMP,HomomorphicFilter,,1,0.6675,0.6714730809132258,OK
2026-01-18/02-06-25,54,eurosat_ms,ZZFeatureMap,None,,1,0.8608333333333332,0.5002414832512537,OK
2026-01-18/02-06-25,55,eurosat_ms,AngleEncoding,None,,1,0.8933333333333332,0.4171562492847442,OK
2026-01-18/02-06-25,56,eurosat_ms,RMP,None,,1,0.9175,0.6358602444330851,OK
2026-01-18/02-06-25,57,eurosat_ms,ZZFeatureMap,GaussianBlur,,1,0.8558333333333333,0.4930210784077644,OK
2026-01-18/02-06-25,58,eurosat_ms,AngleEncoding,GaussianBlur,,1,0.8933333333333332,0.4170855830113093,OK
2026-01-18/02-06-25,59,eurosat_ms,RMP,GaussianBlur,,1,0.9191666666666668,0.635869026184082,OK
2026-01-18/02-06-25,60,eurosat_ms,ZZFeatureMap,ContrastScaling,,1,0.9033333333333332,0.4172357991337776,OK
2026-01-18/02-06-25,61,eurosat_ms,AngleEncoding,ContrastScaling,,1,0.9083333333333332,0.4065807362397511,OK
2026-01-18/02-06-25,62,eurosat_ms,RMP,ContrastScaling,,1,0.9208333333333332,0.6466848154862722,OK
2026-01-18/02-06-25,63,eurosat_ms,ZZFeatureMap,MedianBlur,,1,0.8666666666666667,0.5115215753515562,OK
2026-01-18/02-06-25,64,eurosat_ms,AngleEncoding,MedianBlur,,1,0.8933333333333332,0.4173209865887959,OK
2026-01-18/02-06-25,65,eurosat_ms,RMP,MedianBlur,,1,0.9175,0.6359304090340933,OK
2026-01-18/02-06-25,72,cifar10,ZZFeatureMap,None,,1,0.7062499999999999,0.5737590591112772,OK
2026-01-18/02-06-25,73,cifar10,AngleEncoding,None,,1,0.6958333333333333,0.601398785909017,OK
2026-01-18/02-06-25,74,cifar10,RMP,None,,1,0.6733333333333332,0.6815072695414225,OK
2026-01-18/02-06-25,75,cifar10,ZZFeatureMap,GaussianBlur,,1,0.6966666666666667,0.5776305844386419,OK
2026-01-18/02-06-25,76,cifar10,AngleEncoding,GaussianBlur,,1,0.6891666666666668,0.6055351172884306,OK
2026-01-18/02-06-25,77,cifar10,RMP,GaussianBlur,,1,0.6316666666666667,0.6820561364293098,OK
2026-01-18/02-06-25,78,cifar10,ZZFeatureMap,ContrastScaling,,1,0.7308333333333334,0.5827387248476347,OK
2026-01-18/02-06-25,79,cifar10,AngleEncoding,ContrastScaling,,1,0.7287499999999998,0.5866730958223343,OK
2026-01-18/02-06-25,80,cifar10,RMP,ContrastScaling,,1,0.6329166666666668,0.6794079765677452,OK
2026-01-18/02-06-25,81,cifar10,ZZFeatureMap,MedianBlur,,1,0.7050000000000001,0.5747048656145731,OK
2026-01-18/02-06-25,82,cifar10,AngleEncoding,MedianBlur,,1,0.6933333333333334,0.6025026515126228,OK
2026-01-18/02-06-25,83,cifar10,RMP,MedianBlur,,1,0.6616666666666666,0.6818096935749054,OK
2026-01-18/02-06-25,84,cifar10,ZZFeatureMap,BilateralFilter,,1,0.6908333333333333,0.5814866895476977,OK
2026-01-18/02-06-25,85,cifar10,AngleEncoding,BilateralFilter,,1,0.6920833333333335,0.6046674425403277,OK
2026-01-18/02-06-25,86,cifar10,RMP,BilateralFilter,,1,0.6275000000000001,0.682175320883592,OK
2026-01-18/02-06-25,87,cifar10,ZZFeatureMap,HomomorphicFilter,,1,0.7125,0.5839433794220289,OK
2026-01-18/02-06-25,88,cifar10,AngleEncoding,HomomorphicFilter,,1,0.6729166666666666,0.6196624090274175,OK
2026-01-18/02-06-25,89,cifar10,RMP,HomomorphicFilter,,1,0.5858333333333333,0.6833018486698469,OK
2026-01-17/16-03-43,90,stl10,ZZFeatureMap,None,,0,0.6381746031746032,0.6351171235243479,OK
2026-01-17/16-03-43,91,stl10,AngleEncoding,None,,0,0.6985714285714285,0.6233657995859782,OK
2026-01-17/16-03-43,92,stl10,RMP,None,,0,0.5064285714285713,0.6871405839920044,OK
2026-01-17/16-03-43,93,stl10,ZZFeatureMap,GaussianBlur,,0,0.6431746031746032,0.6335535446802775,OK
2026-01-17/16-03-43,94,stl10,AngleEncoding,GaussianBlur,,0,0.6902380952380952,0.624285618464152,OK
2026-01-17/16-03-43,95,stl10,RMP,GaussianBlur,,0,0.5064285714285713,0.6872819463411967,OK
2026-01-17/16-03-43,96,stl10,ZZFeatureMap,ContrastScaling,,0,0.6703174603174604,0.64385653535525,OK
2026-01-17/16-03-43,97,stl10,AngleEncoding,ContrastScaling,,0,0.7632539682539683,0.602600614229838,OK
2026-01-17/16-03-43,98,stl10,RMP,ContrastScaling,,0,0.5064285714285713,0.685472697019577,OK
2026-01-17/16-03-43,99,stl10,ZZFeatureMap,MedianBlur,,0,0.6311111111111111,0.638432135184606,OK
2026-01-17/16-03-43,100,stl10,AngleEncoding,MedianBlur,,0,0.7065079365079366,0.6228680113951365,OK
2026-01-17/16-03-43,101,stl10,RMP,MedianBlur,,0,0.5064285714285713,0.6870224078496298,OK
2026-01-17/16-03-43,102,stl10,ZZFeatureMap,BilateralFilter,,0,0.6369047619047619,0.633018950621287,OK
2026-01-17/16-03-43,103,stl10,AngleEncoding,BilateralFilter,,0,0.6969047619047619,0.6237560013930002,OK
2026-01-17/16-03-43,104,stl10,RMP,BilateralFilter,,0,0.5064285714285713,0.6871878802776337,OK
2026-01-17/16-03-43,105,stl10,ZZFeatureMap,HomomorphicFilter,,0,0.6711111111111112,0.6385690271854401,OK
2026-01-17/16-03-43,106,stl10,AngleEncoding,HomomorphicFilter,,0,0.669047619047619,0.6494761010011038,OK
2026-01-17/16-03-43,107,stl10,RMP,HomomorphicFilter,,0,0.5064285714285713,0.6918153564135233,OK
