date,run_id,dataset,embedding,preprocessing,image_width,seed,val_acc,val_loss,status
2026-01-15/22-04-31,240,stl10,FRQI,None,16,0,0.598968253968254,0.6620576481024424,OK
2026-01-15/22-04-31,241,stl10,FRQI,None,32,0,0.6019047619047618,0.6748355329036713,OK
2026-01-15/22-04-31,248,stl10,FRQI,GaussianBlur,16,0,0.611904761904762,0.6621002753575643,OK
2026-01-15/22-04-31,249,stl10,FRQI,GaussianBlur,32,0,0.5985714285714286,0.6724649866422018,OK
2026-01-15/22-04-31,256,stl10,FRQI,ContrastScaling,16,0,0.6102380952380954,0.6584436396757761,OK
2026-01-15/22-04-31,257,stl10,FRQI,ContrastScaling,32,0,0.5710317460317461,0.6783509850502014,OK
2026-01-15/22-04-31,264,stl10,FRQI,MedianBlur,16,0,0.598968253968254,0.6629401246706644,OK
2026-01-15/22-04-31,265,stl10,FRQI,MedianBlur,32,0,0.6002380952380952,0.6721667349338531,OK
2026-01-15/22-04-31,272,stl10,FRQI,BilateralFilter,16,0,0.6085714285714287,0.6582543253898621,OK
2026-01-15/22-04-31,273,stl10,FRQI,BilateralFilter,32,0,0.6106349206349206,0.6765479644139608,OK
2026-01-15/22-04-31,280,stl10,FRQI,HomomorphicFilter,16,0,0.6365079365079365,0.6520162522792816,OK
2026-01-15/22-04-31,281,stl10,FRQI,HomomorphicFilter,32,0,0.6494444444444444,0.6595566670099894,OK
2026-01-15/22-04-31,288,cxr8,FRQI,None,16,0,0.84,0.4408340964998518,OK
2026-01-15/22-04-31,289,cxr8,FRQI,None,32,0,0.84,0.4432138758046286,OK
2026-01-15/22-04-31,296,cxr8,FRQI,GaussianBlur,16,0,0.84,0.4403947762080601,OK
2026-01-15/22-04-31,297,cxr8,FRQI,GaussianBlur,32,0,0.84,0.4437966559614454,OK
2026-01-15/22-04-31,304,cxr8,FRQI,ContrastScaling,16,0,0.84,0.441045914377485,OK
2026-01-15/22-04-31,305,cxr8,FRQI,ContrastScaling,32,0,0.84,0.4449515598160879,OK
2026-01-15/22-04-31,312,cxr8,FRQI,MedianBlur,16,0,0.84,0.4404961977686201,OK
2026-01-15/22-04-31,313,cxr8,FRQI,MedianBlur,32,0,0.84,0.4434993139335087,OK
2026-01-15/22-04-31,320,cxr8,FRQI,BilateralFilter,16,0,0.84,0.4406245350837707,OK
2026-01-15/22-04-31,321,cxr8,FRQI,BilateralFilter,32,0,0.84,0.4441092227186475,OK
2026-01-15/22-04-31,328,cxr8,FRQI,HomomorphicFilter,16,0,0.84,0.4433733522891998,OK
2026-01-15/22-04-31,329,cxr8,FRQI,HomomorphicFilter,32,0,0.84,0.4455170588833945,OK
