epoch,batch,train_loss,train_acc,val_loss,val_acc
0,0,0.6965659856796265,0.46,,
0,1,0.7058917880058289,0.47,,
0,2,0.6811877489089966,0.53,,
0,3,0.6862647533416748,0.54,,
0,4,0.6647636294364929,0.66,,
0,5,0.6647911667823792,0.64,,
0,6,0.6655598282814026,0.61,,
0,7,0.6686485409736633,0.59,,
0,8,0.6397294402122498,0.61,,
0,9,0.6074396371841431,0.79,,
0,10,0.6204037666320801,0.73,,
0,11,0.6340025663375854,0.65,,
0,12,0.6301059126853943,0.66,,
0,13,0.5976143479347229,0.75,,
0,14,0.6067692041397095,0.67,,
0,15,0.6131604909896851,0.71,,
0,16,0.5925706624984741,0.69,,
0,17,0.6055697798728943,0.7,,
0,18,0.5915905833244324,0.72,,
0,19,0.6066610813140869,0.67,,
0,20,0.601030707359314,0.69,,
0,21,0.6442911028862,0.59,,
0,22,0.5931348204612732,0.73,,
0,23,0.5836941003799438,0.68,,
0,24,0.6364547610282898,0.66,,
0,25,0.5696908831596375,0.7,,
0,26,0.592237114906311,0.71,,
0,27,0.5632116198539734,0.77,,
0,28,0.5664881467819214,0.75,,
0,29,0.6161021590232849,0.74,,
0,30,0.6013437509536743,0.72,,
0,31,0.6024960875511169,0.66,,
0,32,0.6322498321533203,0.63,,
0,33,0.6219438910484314,0.7,,
0,34,0.6295777559280396,0.69,,
0,35,0.5803138613700867,0.7,,
0,36,0.5772665143013,0.69,,
0,37,0.5302987098693848,0.79,,
0,38,0.5628289580345154,0.74,,
0,39,0.5702703595161438,0.7,,
0,40,0.6026354432106018,0.69,,
0,41,0.5874519944190979,0.71,,
0,42,0.6573091149330139,0.62,,
0,43,0.6582251787185669,0.62,,
0,44,0.6303616762161255,0.67,,
0,45,0.6194875240325928,0.65,,
0,46,0.5972800254821777,0.67,,
0,47,0.5882551670074463,0.7,,
0,48,0.6084336042404175,0.68,,
0,49,0.5781455039978027,0.69,,
0,50,0.5496103763580322,0.74,,
0,51,0.5646575093269348,0.71,,
0,52,0.5984915494918823,0.69,,
0,53,0.5604773163795471,0.73,,
0,54,0.6255347728729248,0.71,,
0,55,0.5970191955566406,0.67,,
0,56,0.5908591747283936,0.67,,
0,57,0.5800042152404785,0.7,,
0,58,0.5962123274803162,0.7,,
0,59,0.5617586374282837,0.71,,
0,60,0.5991768836975098,0.67,,
0,61,0.611771821975708,0.68,,
0,62,0.6154990196228027,0.75,,
0,63,0.569367527961731,0.75,,
0,64,0.5861440300941467,0.74,,
0,65,0.610278844833374,0.7,,
0,66,0.516287624835968,0.76,,
0,67,0.6296660900115967,0.63,,
0,68,0.6071598529815674,0.7,,
0,69,0.636604905128479,0.66,,
0,70,0.5564570426940918,0.73,,
0,71,0.5388504266738892,0.78,,
0,72,0.6417094469070435,0.62,,
0,73,0.5448177456855774,0.75,,
0,74,0.5460293292999268,0.76,,
0,75,0.5528292655944824,0.73,,
