epoch,batch,train_loss,train_acc,val_loss,val_acc
0,0,0.8500511646270752,0.23,,
0,1,0.7537108063697815,0.22,,
0,2,0.7317000031471252,0.24,,
0,3,0.7042683959007263,0.35,,
0,4,0.6993767619132996,0.44,,
0,5,0.6476066708564758,0.64,,
0,6,0.6300008296966553,0.69,,
0,7,0.6190304756164551,0.69,,
0,8,0.5795182585716248,0.81,,
0,9,0.5587277412414551,0.79,,
0,10,0.5713561773300171,0.84,,
0,11,0.566367506980896,0.79,,
0,12,0.5623779892921448,0.8,,
0,13,0.5519237518310547,0.77,,
0,14,0.557129442691803,0.75,,
0,15,0.5100584030151367,0.86,,
0,16,0.5594053864479065,0.85,,
0,17,0.5465053915977478,0.82,,
0,18,0.5372019410133362,0.86,,
0,19,0.5270108580589294,0.83,,
0,20,0.5275484323501587,0.77,,
0,21,0.49062493443489075,0.87,,
0,22,0.5217634439468384,0.79,,
0,23,0.5115489363670349,0.78,,
0,24,0.5248923897743225,0.78,,
0,25,0.5341726541519165,0.71,,
0,26,0.5052988529205322,0.79,,
0,27,0.49926719069480896,0.8,,
0,28,0.5079934000968933,0.78,,
0,29,0.4982253313064575,0.8,,
0,30,0.4998816251754761,0.78,,
0,31,0.4553331434726715,0.87,,
0,32,0.447981595993042,0.88,,
0,33,0.4707917869091034,0.84,,
0,34,0.4638422727584839,0.85,,
0,35,0.4725705683231354,0.85,,
0,36,0.5071240067481995,0.75,,
0,37,0.45341795682907104,0.85,,
0,38,0.4927307963371277,0.78,,
0,39,0.4524427652359009,0.85,,
0,40,0.5152697563171387,0.82,,
0,41,0.48278069496154785,0.86,,
0,42,0.47149184346199036,0.8,,
0,43,0.47663775086402893,0.85,,
0,44,0.46700188517570496,0.9,,
0,45,0.46288803219795227,0.89,,
0,46,0.4607735574245453,0.91,,
0,47,0.4361930787563324,0.97,,
0,48,0.43291378021240234,0.97,,
0,49,0.42319977283477783,0.96,,
0,50,0.41710540652275085,0.96,,
0,51,0.43971240520477295,0.97,,
0,52,0.4249260425567627,0.97,,
0,53,0.45823433995246887,0.9,,
0,54,0.4404807984828949,0.94,,
0,55,0.4213116466999054,0.94,,
0,56,0.43528053164482117,0.94,,
0,57,0.4466899037361145,0.92,,
0,58,0.41883841156959534,0.91,,
0,59,0.41090038418769836,0.96,,
0,60,0.4249691069126129,0.91,,
0,61,0.4327785074710846,0.88,,
0,62,0.5102015137672424,0.77,,
0,63,0.40177762508392334,0.91,,
0,64,0.42954277992248535,0.91,,
0,65,0.4621818959712982,0.92,,
0,66,0.4323384165763855,0.94,,
0,67,0.39881569147109985,0.96,,
0,68,0.4230601489543915,0.95,,
0,69,0.40836769342422485,0.93,,
0,70,0.4541129171848297,0.87,,
0,71,0.42581531405448914,0.94,,
0,72,0.4579179883003235,0.91,,
0,73,0.42719128727912903,0.94,,
0,74,0.43037116527557373,0.93,,
0,75,0.42098212242126465,0.94,,
0,76,0.4296634793281555,0.93,,
0,77,0.42056697607040405,0.95,,
0,78,0.44865334033966064,0.87,,
0,79,0.4462583065032959,0.87,,
0,80,0.384573757648468,0.93,,
0,81,0.4183084964752197,0.9,,
0,82,0.43954217433929443,0.88,,
0,83,0.4046212136745453,0.93,,
0,84,0.40557751059532166,0.91,,
0,85,0.4110207259654999,0.91,,
0,86,0.4338875114917755,0.89,,
0,87,0.4509207010269165,0.87,,
0,88,0.44084876775741577,0.91,,
0,89,0.43150073289871216,0.91,,
0,90,0.3825339376926422,0.98,,
0,91,0.4280850887298584,0.95,,
0,92,0.44378864765167236,0.89,,
0,93,0.4449654519557953,0.92,,
0,94,0.4102110266685486,0.98,,
0,95,0.41484490036964417,0.91,,
0,96,0.41577452421188354,0.91,,
0,97,0.4265357553958893,0.94,,
0,98,,,0.41194976014750345,0.9392857142857146
